;Besancenot;Buffet;Schivardi;Bayrou;Bové;Voynet;de Villiers;Royal;Nihous;Le Pen;Laguiller;Sarkozy;Royal2;Sarkozy2
Alsace;33310;6100;2522;214339;13758;20382;22492;171283;5142;135732;13821;362384;337681;641324
Aquitaine;78230;41791;7572;417546;27941;28285;34028;557300;35300;168665;22016;532158;971807;909798
Auvergne;41522;21920;4206;169395;13532;12090;18730;225476;12474;78804;12936;238153;415650;405352
Bourgogne;42246;18154;3608;175213;12296;13690;24971;241094;12080;119041;14440;297544;434478;515827
Bretagne;94205;31860;5169;451988;28484;39026;41212;564090;21207;143926;25662;557505;1023094;921218
Centre;65347;30003;5696;278177;17395;22655;45720;345354;20567;168912;22279;460429;650777;795959
Champagne-Ardenne;33422;12465;2271;122642;7414;10726;20450;160274;9016;114522;13560;246683;304449;429708
Corse;5941;5164;450;18979;1659;2120;1908;33493;2259;23433;1346;56819;62209;93771
Franche-Comté;30665;9201;2443;114085;10360;12877;16351;165201;7811;94172;10879;212250;297492;371156
Ile-de-France;181247;110970;12388;1143075;57443;89887;89478;1593001;19849;430562;52962;1931425;2612107;2885762
Languedoc-Roussillon;62598;38590;11436;234743;27402;20787;28166;395510;21356;214468;17175;470019;687158;809868
Limousin;24041;15695;2282;82448;6629;6144;10789;142237;8031;38525;6566;123872;249470;207618
Lorraine;70931;19241;4200;250198;16093;21562;29183;315596;10379;196698;25574;403916;593561;715247
Midi-Pyrénées;69177;34076;8778;341641;33687;25267;30850;542039;25280;154767;18613;458092;898194;787351
Nord-Pas-de-Calais;127893;74021;6324;340694;24593;31382;40682;573021;43598;335856;52668;639293;1117952;1131904
Basse Normandie;43896;11197;3081;183917;13153;14361;25640;209000;21407;88386;14620;280396;402149;476255
Haute Normandie;58312;26376;3604;184625;12563;15706;25692;257664;13717;126795;20048;309925;492154;543404
Pays-de-la-Loire;93687;26737;6481;457569;25811;38951;107895;552274;26674;158843;28481;636937;1003684;1075685
Picardie;57720;22303;4123;161253;11619;14225;26729;251918;20417;168742;23938;331150;487508;582715
Poitou-Charentes;45598;15897;3836;193882;13936;16310;38633;321934;21549;88074;13943;304085;542882;516282
Provence-Alpes-Côte;88331;61968;9935;419162;36963;38339;54851;579036;26534;377830;26407;1010235;1025774;1662131
Rhône-Alpes;123711;57624;10963;689671;51420;62997;75904;806682;32615;360297;38095;1120930;1440224;1856430
France;1472030;691353;121368;6645242;464151;557769;810354;9003477;417262;3787050;476029;10984200;16050454;18334765
