CODGEO;LIBGEO;TCHOMB1T11;Majorite
11;Ile-de-France;8.2;PS
21;Champagne-Ardenne;9.4;PS
22;Picardie;11;PS
23;Haute-Normandie;10.4;PS
24;Centre;8.5;PS
25;Basse-Normandie;8.8;PS
26;Bourgogne;8.6;PS
31;Nord-Pas-de-Calais;12.8;PS
41;Lorraine;9.7;PS
42;Alsace;8.4;UMP
43;Franche-Comte;8.6;PS
52;"Pays de la Loire";8;PS
53;Bretagne;7.8;PS
54;Poitou-Charentes;8.9;PS
72;Aquitaine;9.1;PS
73;Midi-Pyrenees;9.3;PS
74;Limousin;8.3;PS
82;Rhone-Alpes;8.2;PS
83;Auvergne;8.3;PS
91;Languedoc-Roussillon;12.7;DVG
93;"Provence-Alpes-Cote d'Azur";10.9;PS
94;Corse;9.6;PRG
